"","form","target_child_id","target_child_age","count","stem"
"205","shares",2483,3,0,"share"
"206","sharing",2483,3,0,"share"
"207","similar",2483,3,0,"similar"
"208","split",2483,3,0,"split"
"209","splits",2483,3,0,"split"
"210","splitting",2483,3,0,"split"
"211","touch",2483,3,0,"touch"
"212","touched",2483,3,0,"touch"
"213","touches",2483,3,0,"touch"
"214","touching",2483,3,0,"touch"
"215","trade",2483,3,0,"trade"
"216","traded",2483,3,0,"trade"
"217","trades",2483,3,0,"trade"
"218","trading",2483,3,0,"trade"
"219","agree",2485,3,0,"agree"
"220","agreed",2485,3,0,"agree"
"221","agreeing",2485,3,0,"agree"
"222","agrees",2485,3,0,"agree"
"223","argue",2485,3,0,"argue"
"224","argued",2485,3,0,"argue"
"225","argues",2485,3,0,"argue"
"226","arguing",2485,3,0,"argue"
"227","attach",2485,3,0,"attach"
"228","attached",2485,3,0,"attach"
"229","attaches",2485,3,0,"attach"
"230","attaching",2485,3,0,"attach"
"231","bump",2485,3,0,"bump"
"232","bumped",2485,3,0,"bump"
"233","bumping",2485,3,0,"bump"
"234","bumps",2485,3,0,"bump"
"235","chat",2485,3,0,"chat"
"236","chats",2485,3,0,"chat"
"237","chatted",2485,3,0,"chat"
"238","chatting",2485,3,0,"chat"
"239","combine",2485,3,0,"combine"
"240","combined",2485,3,0,"combine"
"241","combines",2485,3,0,"combine"
"242","combining",2485,3,0,"combine"
"243","compete",2485,3,0,"compete"
"244","competed",2485,3,0,"compete"
"245","competes",2485,3,0,"compete"
"246","competing",2485,3,0,"compete"
"247","connect",2485,3,0,"connect"
"248","connected",2485,3,0,"connect"
"249","connecting",2485,3,0,"connect"
"250","connects",2485,3,0,"connect"
"251","cooperate",2485,3,0,"cooperate"
"252","cooperated",2485,3,0,"cooperate"
"253","cooperates",2485,3,0,"cooperate"
"254","cooperating",2485,3,0,"cooperate"
"255","crash",2485,3,0,"crash"
"256","crashed",2485,3,0,"crash"
"257","crashes",2485,3,0,"crash"
"258","crashing",2485,3,0,"crash"
"259","differ",2485,3,0,"differ"
"260","differed",2485,3,0,"differ"
"261","differing",2485,3,0,"differ"
"262","differs",2485,3,0,"differ"
"263","disagree",2485,3,0,"disagree"
"264","disagreed",2485,3,0,"disagree"
"265","disagreeing",2485,3,0,"disagree"
"266","equal",2485,3,0,"equal"
"267","equaled",2485,3,0,"equal"
"268","equaling",2485,3,0,"equal"
"269","equals",2485,3,0,"equal"
"270","fight",2485,3,0,"fight"
"271","fighting",2485,3,0,"fight"
"272","fights",2485,3,0,"fight"
"273","fought",2485,3,0,"fight"
"274","friend",2485,3,0,"friend"
"275","friended",2485,3,0,"friend"
"276","friends",2485,3,0,"friend"
"277","hug",2485,3,0,"hug"
"278","hugged",2485,3,0,"hug"
"279","hugging",2485,3,0,"hug"
"280","hugs",2485,3,0,"hug"
"281","join",2485,3,0,"join"
"282","joined",2485,3,0,"join"
"283","joining",2485,3,0,"join"
"284","joins",2485,3,0,"join"
"285","kiss",2485,3,1,"kiss"
"286","kissed",2485,3,0,"kiss"
"287","kisses",2485,3,0,"kiss"
"288","kissing",2485,3,0,"kiss"
"289","married",2485,3,0,"marry"
"290","marries",2485,3,0,"marry"
"291","marry",2485,3,0,"marry"
"292","marrying",2485,3,0,"marry"
"293","match",2485,3,1,"match"
"294","matched",2485,3,0,"match"
"295","matches",2485,3,0,"match"
"296","matching",2485,3,0,"match"
"297","meet",2485,3,0,"meet"
"298","meeting",2485,3,0,"meet"
"299","meets",2485,3,0,"meet"
"300","met",2485,3,0,"meet"
"301","rhyme",2485,3,0,"rhyme"
"302","rhymed",2485,3,0,"rhyme"
"303","rhymes",2485,3,0,"rhyme"
"304","rhyming",2485,3,0,"rhyme"
"305","same",2485,3,0,"same"
"306","separate",2485,3,0,"separate"
"307","separated",2485,3,0,"separate"
"308","separates",2485,3,0,"separate"
"309","separating",2485,3,0,"separate"
"310","share",2485,3,0,"share"
"311","shared",2485,3,0,"share"
"312","shares",2485,3,0,"share"
"313","sharing",2485,3,0,"share"
"314","similar",2485,3,0,"similar"
"315","split",2485,3,0,"split"
"316","splits",2485,3,0,"split"
"317","splitting",2485,3,0,"split"
"318","touch",2485,3,0,"touch"
"319","touched",2485,3,0,"touch"
"320","touches",2485,3,0,"touch"
"321","touching",2485,3,0,"touch"
"322","trade",2485,3,0,"trade"
"323","traded",2485,3,0,"trade"
"324","trades",2485,3,0,"trade"
"325","trading",2485,3,0,"trade"
"326","agree",2515,3,0,"agree"
"327","agreed",2515,3,0,"agree"
"328","agreeing",2515,3,0,"agree"
"329","agrees",2515,3,0,"agree"
"330","argue",2515,3,0,"argue"
"331","argued",2515,3,0,"argue"
"332","argues",2515,3,0,"argue"
"333","arguing",2515,3,0,"argue"
"334","attach",2515,3,0,"attach"
"335","attached",2515,3,0,"attach"
"336","attaches",2515,3,0,"attach"
"337","attaching",2515,3,0,"attach"
"338","bump",2515,3,0,"bump"
"339","bumped",2515,3,0,"bump"
"340","bumping",2515,3,0,"bump"
"341","bumps",2515,3,0,"bump"
"342","chat",2515,3,0,"chat"
"343","chats",2515,3,0,"chat"
"344","chatted",2515,3,0,"chat"
"345","chatting",2515,3,0,"chat"
"346","combine",2515,3,0,"combine"
"347","combined",2515,3,0,"combine"
"348","combines",2515,3,0,"combine"
"349","combining",2515,3,0,"combine"
"350","compete",2515,3,0,"compete"
"351","competed",2515,3,0,"compete"
"352","competes",2515,3,0,"compete"
"353","competing",2515,3,0,"compete"
"354","connect",2515,3,0,"connect"
"355","connected",2515,3,0,"connect"
"356","connecting",2515,3,0,"connect"
"357","connects",2515,3,0,"connect"
"358","cooperate",2515,3,0,"cooperate"
"359","cooperated",2515,3,0,"cooperate"
"360","cooperates",2515,3,0,"cooperate"
"361","cooperating",2515,3,0,"cooperate"
"362","crash",2515,3,1,"crash"
"363","crashed",2515,3,0,"crash"
"364","crashes",2515,3,0,"crash"
"365","crashing",2515,3,0,"crash"
"366","differ",2515,3,0,"differ"
"367","differed",2515,3,0,"differ"
"368","differing",2515,3,0,"differ"
"369","differs",2515,3,0,"differ"
"370","disagree",2515,3,0,"disagree"
"371","disagreed",2515,3,0,"disagree"
"372","disagreeing",2515,3,0,"disagree"
"373","equal",2515,3,0,"equal"
"374","equaled",2515,3,0,"equal"
"375","equaling",2515,3,0,"equal"
"376","equals",2515,3,0,"equal"
"377","fight",2515,3,0,"fight"
"378","fighting",2515,3,0,"fight"
"379","fights",2515,3,0,"fight"
"380","fought",2515,3,0,"fight"
"381","friend",2515,3,0,"friend"
"382","friended",2515,3,0,"friend"
"383","friends",2515,3,0,"friend"
"384","hug",2515,3,0,"hug"
"385","hugged",2515,3,0,"hug"
"386","hugging",2515,3,0,"hug"
"387","hugs",2515,3,0,"hug"
"388","join",2515,3,0,"join"
"389","joined",2515,3,0,"join"
"390","joining",2515,3,0,"join"
"391","joins",2515,3,0,"join"
"392","kiss",2515,3,0,"kiss"
"393","kissed",2515,3,0,"kiss"
"394","kisses",2515,3,0,"kiss"
"395","kissing",2515,3,0,"kiss"
"396","married",2515,3,0,"marry"
"397","marries",2515,3,0,"marry"
"398","marry",2515,3,0,"marry"
"399","marrying",2515,3,0,"marry"
"400","match",2515,3,0,"match"
"401","matched",2515,3,0,"match"
"402","matches",2515,3,0,"match"
"403","matching",2515,3,0,"match"
"404","meet",2515,3,0,"meet"
"405","meeting",2515,3,0,"meet"
"406","meets",2515,3,0,"meet"
"407","met",2515,3,0,"meet"
"408","rhyme",2515,3,0,"rhyme"
"409","rhymed",2515,3,0,"rhyme"
"410","rhymes",2515,3,0,"rhyme"
"411","rhyming",2515,3,0,"rhyme"
"412","same",2515,3,0,"same"
"413","separate",2515,3,0,"separate"
"414","separated",2515,3,0,"separate"
"415","separates",2515,3,0,"separate"
"416","separating",2515,3,0,"separate"
"417","share",2515,3,0,"share"
"418","shared",2515,3,0,"share"
"419","shares",2515,3,0,"share"
"420","sharing",2515,3,0,"share"
"421","similar",2515,3,0,"similar"
"422","split",2515,3,0,"split"
"423","splits",2515,3,0,"split"
"424","splitting",2515,3,0,"split"
"425","touch",2515,3,0,"touch"
"426","touched",2515,3,0,"touch"
"427","touches",2515,3,0,"touch"
"428","touching",2515,3,0,"touch"
"429","trade",2515,3,0,"trade"
"430","traded",2515,3,0,"trade"
"431","trades",2515,3,0,"trade"
"432","trading",2515,3,0,"trade"
"433","agree",2517,3,0,"agree"
"434","agreed",2517,3,0,"agree"
"435","agreeing",2517,3,0,"agree"
"436","agrees",2517,3,0,"agree"
"437","argue",2517,3,0,"argue"
"438","argued",2517,3,0,"argue"
"439","argues",2517,3,0,"argue"
"440","arguing",2517,3,0,"argue"
"441","attach",2517,3,0,"attach"
"442","attached",2517,3,0,"attach"
"443","attaches",2517,3,0,"attach"
"444","attaching",2517,3,0,"attach"
"445","bump",2517,3,0,"bump"
"446","bumped",2517,3,0,"bump"
"447","bumping",2517,3,0,"bump"
"448","bumps",2517,3,0,"bump"
"449","chat",2517,3,0,"chat"
"450","chats",2517,3,0,"chat"
"451","chatted",2517,3,0,"chat"
"452","chatting",2517,3,0,"chat"
"453","combine",2517,3,0,"combine"
"454","combined",2517,3,0,"combine"
"455","combines",2517,3,0,"combine"
"456","combining",2517,3,0,"combine"
"457","compete",2517,3,0,"compete"
"458","competed",2517,3,0,"compete"
"459","competes",2517,3,0,"compete"
"460","competing",2517,3,0,"compete"
"461","connect",2517,3,0,"connect"
"462","connected",2517,3,0,"connect"
"463","connecting",2517,3,0,"connect"
"464","connects",2517,3,0,"connect"
"465","cooperate",2517,3,0,"cooperate"
"466","cooperated",2517,3,0,"cooperate"
"467","cooperates",2517,3,0,"cooperate"
"468","cooperating",2517,3,0,"cooperate"
"469","crash",2517,3,0,"crash"
"470","crashed",2517,3,0,"crash"
"471","crashes",2517,3,0,"crash"
"472","crashing",2517,3,0,"crash"
"473","differ",2517,3,0,"differ"
"474","differed",2517,3,0,"differ"
"475","differing",2517,3,0,"differ"
"476","differs",2517,3,0,"differ"
"477","disagree",2517,3,0,"disagree"
"478","disagreed",2517,3,0,"disagree"
"479","disagreeing",2517,3,0,"disagree"
"480","equal",2517,3,0,"equal"
"481","equaled",2517,3,0,"equal"
"482","equaling",2517,3,0,"equal"
"483","equals",2517,3,0,"equal"
"484","fight",2517,3,1,"fight"
"485","fighting",2517,3,0,"fight"
"486","fights",2517,3,0,"fight"
"487","fought",2517,3,0,"fight"
"488","friend",2517,3,0,"friend"
"489","friended",2517,3,0,"friend"
"490","friends",2517,3,0,"friend"
"491","hug",2517,3,0,"hug"
"492","hugged",2517,3,0,"hug"
"493","hugging",2517,3,0,"hug"
"494","hugs",2517,3,0,"hug"
"495","join",2517,3,0,"join"
"496","joined",2517,3,0,"join"
"497","joining",2517,3,0,"join"
"498","joins",2517,3,0,"join"
"499","kiss",2517,3,0,"kiss"
"500","kissed",2517,3,0,"kiss"
"501","kisses",2517,3,0,"kiss"
"502","kissing",2517,3,0,"kiss"
"503","married",2517,3,0,"marry"
"504","marries",2517,3,0,"marry"
"505","marry",2517,3,0,"marry"
"506","marrying",2517,3,0,"marry"
"507","match",2517,3,0,"match"
"508","matched",2517,3,0,"match"
"509","matches",2517,3,0,"match"
"510","matching",2517,3,0,"match"
"511","meet",2517,3,0,"meet"
"512","meeting",2517,3,0,"meet"
"513","meets",2517,3,0,"meet"
"514","met",2517,3,0,"meet"
"515","rhyme",2517,3,0,"rhyme"
"516","rhymed",2517,3,0,"rhyme"
"517","rhymes",2517,3,0,"rhyme"
"518","rhyming",2517,3,0,"rhyme"
"519","same",2517,3,0,"same"
"520","separate",2517,3,0,"separate"
"521","separated",2517,3,0,"separate"
"522","separates",2517,3,0,"separate"
"523","separating",2517,3,0,"separate"
"524","share",2517,3,0,"share"
"525","shared",2517,3,0,"share"
"526","shares",2517,3,0,"share"
"527","sharing",2517,3,0,"share"
"528","similar",2517,3,0,"similar"
"529","split",2517,3,0,"split"
"530","splits",2517,3,0,"split"
"531","splitting",2517,3,0,"split"
"532","touch",2517,3,0,"touch"
"533","touched",2517,3,0,"touch"
"534","touches",2517,3,0,"touch"
"535","touching",2517,3,0,"touch"
"536","trade",2517,3,0,"trade"
"537","traded",2517,3,0,"trade"
"538","trades",2517,3,0,"trade"
"539","trading",2517,3,0,"trade"
"540","agree",2519,3,0,"agree"
"541","agreed",2519,3,0,"agree"
"542","agreeing",2519,3,0,"agree"
"543","agrees",2519,3,0,"agree"
"544","argue",2519,3,0,"argue"
"545","argued",2519,3,0,"argue"
"546","argues",2519,3,0,"argue"
"547","arguing",2519,3,0,"argue"
"548","attach",2519,3,0,"attach"
"549","attached",2519,3,0,"attach"
"550","attaches",2519,3,0,"attach"
"551","attaching",2519,3,0,"attach"
"552","bump",2519,3,0,"bump"
"553","bumped",2519,3,0,"bump"
"554","bumping",2519,3,0,"bump"
"555","bumps",2519,3,0,"bump"
"556","chat",2519,3,0,"chat"
"557","chats",2519,3,0,"chat"
"558","chatted",2519,3,0,"chat"
"559","chatting",2519,3,0,"chat"
"560","combine",2519,3,0,"combine"
"561","combined",2519,3,0,"combine"
"562","combines",2519,3,0,"combine"
"563","combining",2519,3,0,"combine"
"564","compete",2519,3,0,"compete"
"565","competed",2519,3,0,"compete"
"566","competes",2519,3,0,"compete"
"567","competing",2519,3,0,"compete"
"568","connect",2519,3,0,"connect"
"569","connected",2519,3,0,"connect"
"570","connecting",2519,3,0,"connect"
"571","connects",2519,3,0,"connect"
"572","cooperate",2519,3,0,"cooperate"
"573","cooperated",2519,3,0,"cooperate"
"574","cooperates",2519,3,0,"cooperate"
"575","cooperating",2519,3,0,"cooperate"
"576","crash",2519,3,0,"crash"
"577","crashed",2519,3,0,"crash"
"578","crashes",2519,3,0,"crash"
"579","crashing",2519,3,0,"crash"
"580","differ",2519,3,0,"differ"
"581","differed",2519,3,0,"differ"
"582","differing",2519,3,0,"differ"
"583","differs",2519,3,0,"differ"
"584","disagree",2519,3,0,"disagree"
"585","disagreed",2519,3,0,"disagree"
"586","disagreeing",2519,3,0,"disagree"
"587","equal",2519,3,0,"equal"
"588","equaled",2519,3,0,"equal"
"589","equaling",2519,3,0,"equal"
"590","equals",2519,3,0,"equal"
"591","fight",2519,3,0,"fight"
"592","fighting",2519,3,1,"fight"
"593","fights",2519,3,0,"fight"
"594","fought",2519,3,0,"fight"
"595","friend",2519,3,0,"friend"
"596","friended",2519,3,0,"friend"
"597","friends",2519,3,0,"friend"
"598","hug",2519,3,0,"hug"
"599","hugged",2519,3,0,"hug"
"600","hugging",2519,3,0,"hug"
"601","hugs",2519,3,0,"hug"
"602","join",2519,3,0,"join"
"603","joined",2519,3,0,"join"
"604","joining",2519,3,0,"join"
"605","joins",2519,3,0,"join"
"606","kiss",2519,3,1,"kiss"
"607","kissed",2519,3,0,"kiss"
"608","kisses",2519,3,0,"kiss"
"609","kissing",2519,3,1,"kiss"
"610","kissing",2519,3,1,"kiss"
"611","kissing",2519,3,1,"kiss"
"612","married",2519,3,0,"marry"
"613","marries",2519,3,0,"marry"
"614","marry",2519,3,0,"marry"
"615","marrying",2519,3,0,"marry"
"616","match",2519,3,0,"match"
"617","matched",2519,3,1,"match"
"618","matched",2519,3,1,"match"
"619","matches",2519,3,0,"match"
"620","matching",2519,3,0,"match"
"621","meet",2519,3,1,"meet"
"622","meet",2519,3,1,"meet"
"623","meeting",2519,3,0,"meet"
"624","meets",2519,3,0,"meet"
"625","met",2519,3,1,"meet"
"626","rhyme",2519,3,0,"rhyme"
"627","rhymed",2519,3,0,"rhyme"
"628","rhymes",2519,3,0,"rhyme"
"629","rhyming",2519,3,0,"rhyme"
"630","same",2519,3,0,"same"
"631","separate",2519,3,0,"separate"
"632","separated",2519,3,0,"separate"
"633","separates",2519,3,0,"separate"
"634","separating",2519,3,0,"separate"
"635","share",2519,3,1,"share"
"636","share",2519,3,1,"share"
"637","shared",2519,3,0,"share"
"638","shares",2519,3,0,"share"
"639","sharing",2519,3,1,"share"
"640","similar",2519,3,0,"similar"
"641","split",2519,3,0,"split"
"642","splits",2519,3,0,"split"
"643","splitting",2519,3,0,"split"
"644","touch",2519,3,1,"touch"
"645","touch",2519,3,1,"touch"
"646","touch",2519,3,1,"touch"
"647","touch",2519,3,1,"touch"
"648","touch",2519,3,1,"touch"
"649","touch",2519,3,1,"touch"
"650","touch",2519,3,1,"touch"
"651","touch",2519,3,1,"touch"
"652","touched",2519,3,0,"touch"
"653","touches",2519,3,0,"touch"
"654","touching",2519,3,0,"touch"
"655","trade",2519,3,1,"trade"
"656","trade",2519,3,1,"trade"
"657","traded",2519,3,0,"trade"
"658","trades",2519,3,0,"trade"
"659","trading",2519,3,0,"trade"
"660","agree",2529,3,0,"agree"
"661","agreed",2529,3,0,"agree"
"662","agreeing",2529,3,0,"agree"
"663","agrees",2529,3,0,"agree"
"664","argue",2529,3,0,"argue"
"665","argued",2529,3,0,"argue"
"666","argues",2529,3,0,"argue"
"667","arguing",2529,3,0,"argue"
"668","attach",2529,3,0,"attach"
"669","attached",2529,3,0,"attach"
"670","attaches",2529,3,0,"attach"
"671","attaching",2529,3,0,"attach"
"672","bump",2529,3,1,"bump"
"673","bumped",2529,3,1,"bump"
"674","bumping",2529,3,0,"bump"
"675","bumps",2529,3,0,"bump"
"676","chat",2529,3,0,"chat"
"677","chats",2529,3,0,"chat"
"678","chatted",2529,3,0,"chat"
"679","chatting",2529,3,0,"chat"
"680","combine",2529,3,0,"combine"
"681","combined",2529,3,0,"combine"
"682","combines",2529,3,0,"combine"
"683","combining",2529,3,0,"combine"
"684","compete",2529,3,0,"compete"
"685","competed",2529,3,0,"compete"
"686","competes",2529,3,0,"compete"
"687","competing",2529,3,0,"compete"
"688","connect",2529,3,0,"connect"
"689","connected",2529,3,0,"connect"
"690","connecting",2529,3,0,"connect"
"691","connects",2529,3,0,"connect"
"692","cooperate",2529,3,0,"cooperate"
"693","cooperated",2529,3,0,"cooperate"
"694","cooperates",2529,3,0,"cooperate"
"695","cooperating",2529,3,0,"cooperate"
"696","crash",2529,3,0,"crash"
"697","crashed",2529,3,0,"crash"
"698","crashes",2529,3,0,"crash"
"699","crashing",2529,3,0,"crash"
"700","differ",2529,3,0,"differ"
"701","differed",2529,3,0,"differ"
"702","differing",2529,3,0,"differ"
"703","differs",2529,3,0,"differ"
"704","disagree",2529,3,0,"disagree"
"705","disagreed",2529,3,0,"disagree"
"706","disagreeing",2529,3,0,"disagree"
"707","equal",2529,3,0,"equal"
"708","equaled",2529,3,0,"equal"
"709","equaling",2529,3,0,"equal"
"710","equals",2529,3,0,"equal"
"711","fight",2529,3,0,"fight"
"712","fighting",2529,3,1,"fight"
"713","fights",2529,3,0,"fight"
"714","fought",2529,3,0,"fight"
"715","friend",2529,3,0,"friend"
"716","friended",2529,3,0,"friend"
"717","friends",2529,3,0,"friend"
"718","hug",2529,3,0,"hug"
"719","hugged",2529,3,0,"hug"
"720","hugging",2529,3,0,"hug"
"721","hugs",2529,3,0,"hug"
"722","join",2529,3,0,"join"
"723","joined",2529,3,0,"join"
"724","joining",2529,3,0,"join"
"725","joins",2529,3,0,"join"
"726","kiss",2529,3,0,"kiss"
"727","kissed",2529,3,0,"kiss"
"728","kisses",2529,3,0,"kiss"
"729","kissing",2529,3,0,"kiss"
"730","married",2529,3,0,"marry"
"731","marries",2529,3,0,"marry"
"732","marry",2529,3,0,"marry"
"733","marrying",2529,3,0,"marry"
"734","match",2529,3,0,"match"
"735","matched",2529,3,0,"match"
"736","matches",2529,3,0,"match"
"737","matching",2529,3,0,"match"
"738","meet",2529,3,0,"meet"
"739","meeting",2529,3,0,"meet"
"740","meets",2529,3,0,"meet"
"741","met",2529,3,0,"meet"
"742","rhyme",2529,3,0,"rhyme"
"743","rhymed",2529,3,0,"rhyme"
"744","rhymes",2529,3,0,"rhyme"
"745","rhyming",2529,3,0,"rhyme"
"746","same",2529,3,0,"same"
"747","separate",2529,3,0,"separate"
"748","separated",2529,3,0,"separate"
"749","separates",2529,3,0,"separate"
"750","separating",2529,3,0,"separate"
"751","share",2529,3,0,"share"
"752","shared",2529,3,0,"share"
"753","shares",2529,3,0,"share"
"754","sharing",2529,3,0,"share"
