"","id","target_child_id","gloss","stem","type","part_of_speech","corpus_name","speaker_role","utterance_order"
"56",391793,1741,"I I could I c I could sit in dis tow+truck and pull it","I I I could sit in this and pull it","declarative","pro:sub pro:sub pro:sub mod v prep det:dem coord v pro:per","Clark","Target_Child",761
"57",391797,1741,"you hafta push the the men down","you have push the man down","declarative","pro:per mod v det:art n adv","Clark","Target_Child",889
"58",391878,1741,"den dey den ya hafta pull pull den you hafta","den den you have pull pull den you have","trail off","n n pro:per mod v v n pro:per mod","Clark","Target_Child",900
"59",391901,1741,"xxx I think I will pull right here","I think I will pull right here","trail off","pro:sub v pro:sub mod v adv adv","Clark","Target_Child",774
"60",391937,1741,"but I wanna tie something o o","but I want tie something","trail off","conj pro:sub v v pro:indef","Clark","Target_Child",780
"61",392029,1741,"tie it on","tie it on","declarative","v pro:per adv","Clark","Target_Child",794
"62",392226,1741,"and dey want a spout so so duh so deir fing can't come out and dey gonna s pull duh trailer","and they want a spout so their thing can come out and they go pull the trailer","declarative","coord pro:sub v det:art n co det:poss n mod v adv coord pro:sub part v det:art n","Clark","Target_Child",660
"63",392234,1741,"yeah and stick dem xxx um we did dat last morning a at little kids' place an","yeah and stick them we do that last morning at little kid place a","trail off","co coord v pro:obj pro:sub v adv adj n prep adj adj n det:art","Clark","Target_Child",432
"64",392265,1741,"a and den pull it","and den pull it","declarative","coord n v pro:per","Clark","Target_Child",664
"65",392272,1741,"and den all everybody sticked duh egg on deir um um eggs","and den everybody stick the egg on their egg","declarative","coord n pro:indef v det:art n prep det:poss n","Clark","Target_Child",440
"66",392277,1741,"y duh duh no pull p no duh tr no no no n no no duh boat will pull duh trailer","no pull no the no no no no no the boat will pull the trailer","declarative","co v qn det:art qn qn qn qn qn det:art n mod v det:art n","Clark","Target_Child",666
"67",392320,1741,"n no duh no dey can't pull duh motorcycle","no no they can pull the motorcycle","declarative","co co pro:sub mod v det:art n","Clark","Target_Child",673
"68",392428,1741,"den ya gonna buy a flag","den you go buy a flag","question","n pro:per part v det:art n","Clark","Target_Child",690
"69",392495,1741,"so so so they will pull it","so they will pull it","declarative","co pro:sub mod v pro:per","Clark","Target_Child",702
"70",392540,1741,"so and then they can pull it","so and then they can pull it","declarative","adv coord adv:tem pro:sub mod v pro:per","Clark","Target_Child",711
"71",392550,1741,"somebody is pulling dem","somebody be pull them","declarative","pro:indef aux part pro:obj","Clark","Target_Child",713
"72",392574,1741,"dey're gonna pull dis and dis dis and dis dis and dis","they go pull this and this this and this this and this","declarative","pro:sub part v det:dem coord pro:dem pro:dem coord pro:dem pro:dem coord pro:dem","Clark","Target_Child",717
"73",392587,1741,"dey dey gonna get out first so it can pull and dey are gonna leave duh motor on","they go get out first so it can pull and they be go leave the motor on","declarative","pro:sub part v adv adj conj pro:per mod v coord pro:sub aux part v det:art n adv","Clark","Target_Child",719
"74",392856,1741,"tie it right here wif some rope","tie it right here wife some rope","declarative","v pro:per adv adv n qn n","Clark","Target_Child",931
"75",392874,1741,"why he holding in his hand","why he hold in his hand","question","pro:int pro:sub part prep det:poss n","Clark","Target_Child",1063
"76",392923,1741,"but first first first first day hafta pull dis","but first day have pull this","declarative","conj adj n mod v det:dem","Clark","Target_Child",779
"77",393020,1741,"and tie it there","and tie it there","question","coord v pro:per adv","Clark","Target_Child",795
"78",396539,1741,"but dis is in duh way so duh people cannot buy duh dat machine","but this be in the way so the person can buy that machine","declarative","conj det:dem aux prep det:art n co det:art n mod v det:dem n","Clark","Target_Child",664
"79",396936,1741,"oh and why why duh boat is tied to here","oh and why the boat be tie to here","question","co coord pro:int det:art n aux part prep n","Clark","Target_Child",766
"80",396944,1741,"oh dey wanna have deir own so dey tie it to here","oh they want have their own so they tie it to here","question","co pro:sub v v det:poss adj conj pro:sub v pro:per prep n","Clark","Target_Child",770
"81",400529,1741,"no dat's I'm gonna cover","no that I go cover","declarative","co pro:dem pro:sub part v","Clark","Target_Child",225
"82",400732,1741,"a no dese are I wanna cover up duh elephant because dat's a bad one","no these I want cover up the elephant because that a bad one","declarative","co det:dem pro:sub v v prep det:art n conj pro:rel det:art adj pro:indef","Clark","Target_Child",239
"83",400821,1741,"did you cover your watch","do you cover your watch","question","mod pro:per v det:poss n","Clark","Target_Child",245
"84",401407,1741,"no he just don't wants me to cover him","no he just do want me to cover him","declarative","co pro:sub adv mod v pro:obj inf v pro:obj","Clark","Target_Child",292
"85",405141,1741,"it went on and sticked","it go on and stick","declarative","pro:per v adv coord v","Clark","Target_Child",1012
"86",504941,1999,"I told you no xxx was stuck in the middle","I tell you no be stick in the middle","declarative","pro:sub v pro:per qn aux part prep det:art n","Hall","Target_Child",431
"87",505031,1999,"can't you see I dropped or drawed","can you see I drop or draw","question","mod pro:per v pro:sub v coord v","Hall","Target_Child",456
"88",505120,2007,"hold my umbrella","hold my umbrella","declarative","v det:poss n","Hall","Target_Child",152
"89",505200,1999,"hold it my shoe laces","hold it my shoe lace","declarative","v pro:per det:poss n n","Hall","Target_Child",495
"90",505308,1999,"hold it hold it","hold it hold it","declarative","v pro:per v pro:per","Hall","Target_Child",520
"91",505325,2020,"and and and he had my hands tied behind my back and he threw me into the living room","and and and he have my hand tie behind my back and he throw me into the live room","declarative","coord coord coord pro:sub v det:poss n v prep det:poss n coord pro:sub v pro:obj prep det:art n:gerund n","Hall","Target_Child",127
"92",506306,2020,"why don't he jump with pull the rope in front of hum so he could see what he was doing","why do he jump pull the rope in front of him so he could see what he be do","question","pro:int mod pro:sub v v det:art n prep n prep pro:obj conj pro:sub mod v pro:int pro:sub aux part","Hall","Target_Child",319
"93",506434,2020,"your brother pu pull pull you","your brother pull pull you","declarative","det:poss n v v pro:per","Hall","Target_Child",339
"94",506821,2053,"you hold it","you hold it","declarative","pro:per v pro:per","Hall","Target_Child",291
"95",506834,2053,"you hold it","you hold it","declarative","pro:per v pro:per","Hall","Target_Child",293
"96",506840,2053,"you hold it","you hold it","declarative","pro:per v pro:per","Hall","Target_Child",294
"97",506844,2053,"you hold it","you hold it","declarative","pro:per v pro:per","Hall","Target_Child",295
"98",506852,2053,"you hold it","you hold it","declarative","pro:per v pro:per","Hall","Target_Child",296
"99",507042,1999,"hold it","hold it","declarative","v pro:per","Hall","Target_Child",838
"100",507781,2007,"tie it","tie it","declarative","v pro:per","Hall","Target_Child",599
"101",507791,2007,"tie them booties up","tie them boot up","declarative","v pro:obj n adv","Hall","Target_Child",600
"102",507866,2007,"xxx the bootie's tied up","the boot tie up","question","det:art n part adv","Hall","Target_Child",606
"103",507945,2007,"the booties tied up","the boot tie up","declarative","det:art n v adv","Hall","Target_Child",613
"104",507956,2006,"I pull oh mike","I pull the mike","trail off","pro:sub v det:art n","Hall","Target_Child",641
"105",507979,2007,"tied up","tie up","question","part adv","Hall","Target_Child",615
"106",508100,2187,"who pull this out Michael","who pull this out Michael","question","pro:rel v det:dem prep n:prop","Hall","Target_Child",44
"107",508124,2187,"I'm not gonna pull it","I not go pull it","declarative","pro:sub neg part v pro:per","Hall","Target_Child",47
"108",508175,2187,"I saw Michael pull it","I see Michael pull it","declarative","pro:sub v n:prop v pro:per","Hall","Target_Child",53
"109",508185,2187,"I saw Michael pull this auf yesterday","I see Michael pull this out yesterday","declarative","pro:sub v n:prop v det:dem prep adv:tem","Hall","Target_Child",54
"110",508210,2007,"are you gonna teach","be you go teach","question","cop pro:per part v","Hall","Target_Child",639
"111",508258,2112,"you xxx can't hold dis Keisha","you can hold this Keisha","declarative","pro:per mod v det:dem n:prop","Hall","Target_Child",227
"112",508261,2187,"I saw Michael pull lis off","I see Michael pull this off","declarative","pro:sub v n:prop v det:dem adv","Hall","Target_Child",62
"113",508344,2007,"and check this out","and check this out","declarative","coord v det:dem adv","Hall","Target_Child",652
"114",508421,2053,"I don't wanna hold these stinky pants","I do want hold these stink pant","declarative","pro:sub mod v v det:dem adj v","Hall","Target_Child",485
"115",508501,2187,"you bought it","you buy it","declarative","pro:per v pro:per","Hall","Target_Child",88
"116",508677,2040,"yes dee must be covered","yes they must be cover","declarative","co pro:sub mod aux part","Hall","Target_Child",86
"117",509140,2202,"buy a new one again","buy a new one again","question","v det:art adj det:num adv","Hall","Target_Child",62
"118",509548,2108,"they not push xxx any way they be telling that","they not push any way they be tell that","trail off","pro:sub neg v qn n pro:sub aux part comp","Hall","Target_Child",353
"119",509700,2007,"when you push this","when you push this","trail off","conj pro:per v pro:dem","Hall","Target_Child",766
"120",510027,2077,"cover it","cover it","declarative","v pro:per","Hall","Target_Child",307
"121",510125,2077,"I want you cover it","I want you cover it","declarative","pro:sub v pro:per v pro:per","Hall","Target_Child",315
"122",511092,2202,"lemme hold them","let me hold them","declarative","v pro:obj v pro:obj","Hall","Target_Child",230
"123",511144,2202,"ooooee uh huh he bite your ear","he bite your ear","declarative","pro:sub v det:poss n","Hall","Target_Child",234
"124",511449,2108,"hold this for a minute","hold this for a minute","declarative","v pro:dem prep det:art n","Hall","Target_Child",510
"125",511577,2053,"you teach in school","you teach in school","question","pro:per v prep n","Hall","Target_Child",745
"126",512093,2127,"I stuck you","I stick you","declarative","pro:sub v pro:per","Hall","Target_Child",152
"127",512496,2020,"I dropped it in my bag","I drop it in my bag","declarative","pro:sub v pro:per prep det:poss n","Hall","Target_Child",873
"128",512852,1999,"daddy ya hafta teach me how to roller or go on","daddy you have teach me how to roll or go on","question","n pro:per mod v pro:obj pro:int prep n coord v adv","Hall","Target_Child",1330
"129",512901,1999,"I you hafta teach me how to toller or go","you have teach me how to toll or go","question","pro:per mod v pro:obj pro:int prep n coord v","Hall","Target_Child",1333
"130",513092,2040,"xxx lemme hold the door open","let me hold the door open","declarative","v pro:obj v det:art n adj","Hall","Target_Child",409
"131",513126,2040,"let her push the door alright","let her push the door alright","question","part det:poss v det:art n co","Hall","Target_Child",411
"132",513176,2040,"yeah and I hold the door and he get he gets out","yeah and I hold the door and he get he get out","question","co coord pro:sub v det:art n coord pro:sub v pro:sub v adv","Hall","Target_Child",413
"133",513934,2202,"um boy I push your head","boy I push your head","declarative","n pro:sub v det:poss n","Hall","Target_Child",400
"134",513945,1999,"xxx was pushing me","be push me","declarative","aux part pro:obj","Hall","Target_Child",1388
"135",514011,2006,"don't pull this","do pull this","imperative_emphatic","mod v det:dem","Hall","Target_Child",1086
"136",514103,2187,"I tie dis thing up","I tie this thing up","declarative","pro:sub v det:dem n adv","Hall","Target_Child",489
"137",514444,2141,"covered my voice forty eight","cover my voice forty eight","question","v det:poss n det:num det:num","Hall","Target_Child",70
"138",514525,2065,"yeah well how did he gets duh sound from he just pushes one of these buttons","yeah well how do he get the sound from he just push one of these button","declarative","co n pro:rel mod pro:sub v det:art n prep pro:sub adv v det:num prep det:dem n","Hall","Target_Child",202
"139",514868,2053,"hold my hand please","hold my hand please","declarative","v det:poss n co","Hall","Target_Child",921
"140",514915,1999,"hold it I hafta see this it's going over top of it","hold it I have see this it go over top of it","declarative","v pro:per pro:sub mod v det:dem pro:per part prep n prep pro:per","Hall","Target_Child",1439
"141",514978,2007,"did you push the button","do you push the button","question","mod pro:per v det:art n","Hall","Target_Child",1096
"142",515081,2007,"push it down","push it down","declarative","v pro:per adv","Hall","Target_Child",1102
"143",515129,2007,"you pushed it up","you push it up","declarative","pro:per v pro:per adv","Hall","Target_Child",1104
"144",515172,2007,"the other day you pushed it up","the other day you push it up","declarative","det:art qn n pro:per v pro:per adv","Hall","Target_Child",1106
"145",515359,2172,"I'll hold this right on here","I hold this right on here","declarative","pro:sub v pro:dem adv prep n","Hall","Target_Child",254
"146",515426,2007,"hold my hand","hold my hand","declarative","v det:poss n","Hall","Target_Child",1120
"147",515515,2053,"you knocked on the door you hold it","you knock on the door you hold it","declarative","pro:per v prep det:art n pro:per v pro:per","Hall","Target_Child",956
"148",515681,2108,"you your pants is stick","your pants be stick","declarative","det:poss n:pt cop v","Hall","Target_Child",737
"149",516054,2020,"yeah we'll teach him a lesson okay","yeah we teach him a lesson okay","declarative","co pro:sub v pro:obj det:art n adj","Hall","Target_Child",1063
"150",516178,2234,"can't get the same thing because he gonna buy me another one","can get the same thing because he go buy me another one","declarative","mod v det:art adj n conj pro:sub part v pro:obj qn pro:indef","Hall","Target_Child",268
"151",516223,1999,"xxx hold dis what you looking funny","hold this what you look fun","question","v det:dem pro:int pro:per part adj","Hall","Target_Child",1504
"152",516486,2007,"hold my hand silly","hold my hand silly","declarative","v det:poss n adj","Hall","Target_Child",1177
"153",516753,2007,"e s xxx I xxx xxx my daddy let's me kick the snow","e s I my daddy let me kick the snow","declarative","n:let n:let pro:sub det:poss n v pro:obj v det:art n","Hall","Target_Child",1190
"154",517301,2020,"he bought it at the diamond stone","he buy it at the diamond stone","declarative","pro:sub v pro:per prep det:art n n","Hall","Target_Child",1124
"155",517410,1999,"hold it let me show the count there goes the count","hold it let me show the count there go the count","declarative","v pro:per v pro:obj v det:art n adv v det:art n","Hall","Target_Child",1562
"156",518211,2040,"I dropped my money","I drop my money","declarative","pro:sub v det:poss n","Hall","Target_Child",673
"157",518353,1999,"he always hang the phone down because he don't wanna speak to the count","he always hang the phone down because he do want speak to the count","declarative","pro:sub adv v det:art n adv conj pro:sub mod v v prep det:art n","Hall","Target_Child",1611
"158",518366,2040,"me drop it","me drop it","declarative","pro:obj v pro:per","Hall","Target_Child",681
"159",518435,1999,"hold it","hold it","declarative","v pro:per","Hall","Target_Child",1615
"160",518820,2112,"Lynette had it in huh in in huh hand holding it","Lynette have it in her in in her hand hold it","declarative","n:prop v pro:per adv det:poss adv prep det:poss n part pro:per","Hall","Target_Child",893
"161",518909,1999,"I kick you","I kick you","declarative","pro:sub v pro:per","Hall","Target_Child",1639
"162",518944,1999,"I kick you","I kick you","declarative","pro:sub v pro:per","Hall","Target_Child",1641
"163",518972,1999,"I kick you","I kick you","declarative","pro:sub v pro:per","Hall","Target_Child",1643
"164",518996,1999,"I kick","I kick","trail off","pro:sub v","Hall","Target_Child",1644
"165",519310,2077,"uho hold it for me Sharon and Robbin","hold it for me Sharon and Robbin","declarative","v pro:per prep pro:obj n:prop coord n:prop","Hall","Target_Child",827
"166",519618,2065,"it's hanging on the tree","it hang on the tree","declarative","pro:per part prep det:art n","Hall","Target_Child",455
"167",519915,2065,"I think someone hang it on dere","I think someone hang it on there","declarative","pro:sub v pro:indef v pro:per prep n","Hall","Target_Child",468
"168",520380,2234,"Carl right you gonna buy me Carl right you gonna buy me a bigger shirt","Carl right you go buy me Carl right you go to buy me a big shirt","question","n:prop n pro:per part v pro:obj n:prop n pro:per part inf v pro:obj det:art adj n","Hall","Target_Child",475
"169",520818,2108,"would you hang up the phone","will you hang up the phone","declarative","mod pro:per v adv det:art n","Hall","Target_Child",1000
"170",520869,1999,"hold it","hold it","declarative","v pro:per","Hall","Target_Child",1738
"171",520905,1999,"hold it I said","hold it I say","declarative","v pro:per pro:sub v","Hall","Target_Child",1740
"172",521019,2040,"he kick you out dis bus","he kick you out this bus","declarative","pro:sub v pro:per adv det:dem n","Hall","Target_Child",817
"173",521472,2077,"don't pull up","do pull up","question","mod v adv","Hall","Target_Child",934
"174",521498,2007,"he buy me that Missus xxx","he buy me that Missus","declarative","pro:sub v pro:obj comp n:prop","Hall","Target_Child",1434
"175",521687,2108,"xxx this is this is not sticking to my hand","this be this be not stick to my hand","declarative","pro:dem cop pro:dem cop neg part prep det:poss n","Hall","Target_Child",1045
"176",521746,2006,"hold it","hold it","imperative_emphatic","v pro:per","Hall","Target_Child",1495
"177",521837,2053,"xxx him xxx xxx tied up","him tie up","declarative","pro:obj v adv","Hall","Target_Child",1272
"178",521901,2040,"and I pull that","and I pull that","question","coord pro:sub v pro:dem","Hall","Target_Child",859
"179",522328,2172,"mister Grimm right dere bought me ta school","mister Grimm right there buy me to school","declarative","n n:prop adv adv v pro:obj prep n","Hall","Target_Child",607
"180",522360,2112,"how come dis is tied up","how come this be tie up","question","pro:int v pro:dem aux part adv","Hall","Target_Child",1063
"181",522453,2091,"I'll hold this","I hold this","declarative","pro:sub v pro:dem","Hall","Target_Child",544
"182",522505,1999,"now they gonna kick up the sky","now they go kick up the sky","imperative_emphatic","adv pro:sub part v adv det:art n","Hall","Target_Child",1817
"183",523043,2234,"xxx pull it here","pull it here","declarative","v pro:per adv","Hall","Target_Child",605
