"","id","target_child_id","target_child_age","gloss","stem","type","part_of_speech","corpus_name","speaker_role","utterance_order"
"33",514684,2065,57.0011704552455,"my grandma gave it to me","my ma give it to me","declarative","det:poss n v pro:per prep pro:obj","Hall","Target_Child",211
"34",515608,2077,57.0011704552455,"time to give you valen time to give valentine cards out","time to give you time to give valentine card out","declarative","n inf v pro:per v inf v n n adv","Hall","Target_Child",643
"35",515865,2077,57.0011704552455,"when I find it I'll give it to Robbin","when I find it I give it to Robbin","declarative","conj pro:sub v pro:per pro:sub v pro:per prep n:prop","Hall","Target_Child",655
"36",516055,2234,57.0011704552455,"who gave you candy","who give you candy","question","pro:int v pro:per n","Hall","Target_Child",262
"37",517455,2127,57.0011704552455,"wanna get want me give him a whipping","want want me give him a whip","question","v v pro:obj v pro:obj det:art n:gerund","Hall","Target_Child",441
"38",518874,2249,57.0011704552455,"I can't give her none","I can give her none","declarative","pro:sub mod v pro:obj pro:indef","Hall","Target_Child",170
"39",519381,2187,57.0011704552455,"give mi Missus Witt de note","give Missus Witt the note","declarative","v n:prop n:prop det:art n","Hall","Target_Child",762
"40",519509,2187,57.0011704552455,"he could give me a dollar for Missus Witt","he could give me a dollar for Missus Witt","declarative","pro:sub mod v pro:obj det:art n prep n:prop n:prop","Hall","Target_Child",769
"41",519599,2187,57.0011704552455,"give it to Missus Witt","give it to Missus Witt","declarative","v pro:per prep n:prop n:prop","Hall","Target_Child",775
"42",519701,2187,57.0011704552455,"give it to Missus Witt","give it to Missus Witt","declarative","v pro:per prep n:prop n:prop","Hall","Target_Child",779
"43",519805,2187,57.0011704552455,"kuh kuh mommy told me I give it to her","because because mommy tell me I give it to her","declarative","conj conj n v pro:obj pro:sub v pro:per prep pro:obj","Hall","Target_Child",785
"44",520621,2220,57.0011704552455,"give it ah xxx","give ah","trail off","v co","Hall","Target_Child",423
"45",521378,2202,57.0011704552455,"give me some","give me some","declarative","v pro:obj qn","Hall","Target_Child",775
"46",524318,2220,57.0011704552455,"now got give me the juice","now get give me the juice","declarative","adv v v pro:obj det:art n","Hall","Target_Child",609
"47",524551,2141,57.0011704552455,"give Maya a kiss","give Maya a kiss","declarative","v n:prop det:art n","Hall","Target_Child",572
"48",525501,2007,57.0011704552455,"he gave me this and something in my back","he give me this and something in my back","declarative","pro:sub v pro:obj det:dem coord pro:indef prep det:poss n","Hall","Target_Child",1630
"49",526604,2234,57.0011704552455,"my uncle gave me a hair+cut","my uncle give me a","declarative","det:poss n v pro:obj det:art","Hall","Target_Child",779
"50",528371,2202,57.0011704552455,"and I give or get","and I give or get","question","coord pro:sub v coord v","Hall","Target_Child",1117
"51",531343,2020,57.0011704552455,"when you gonna give me the thing that you xxx back","when you go give me the thing that you back","declarative","conj pro:per part v pro:obj det:art n pro:rel pro:per adv","Hall","Target_Child",1797
"52",531909,2302,57.0011704552455,"what's doing xxx do something xxx he gives me a penny xxx because because he's xxx takes me along time to get four quarters to make a dollar","what do do something he give me a penny because because he take me along time to get four quarter to make a dollar","declarative","pro:int n:gerund v pro:indef pro:sub v pro:obj det:art n conj conj pro:sub v pro:obj prep n inf v det:num n inf v det:art n","Hall","Target_Child",28
"53",533305,2141,57.0011704552455,"mommy I wanna give you a kiss","mommy I want give you a kiss","declarative","n pro:sub v v pro:per det:art n","Hall","Target_Child",984
"54",533855,2302,57.0011704552455,"giving him what seeds","give him what seed","question","part pro:obj pro:int n","Hall","Target_Child",110
"55",534479,2279,57.0011704552455,"and then I'll um and then and then I'll give it back to you","and then I and then and then I give it back to you","declarative","coord adv:tem pro:sub coord adv:tem coord adv:tem pro:sub v pro:per adv prep pro:per","Hall","Target_Child",138
"56",535931,2130,57.0011704552455,"give it ta me","give it to me","declarative","v pro:per prep pro:obj","Hall","Target_Child",1247
"57",536647,2130,57.0011704552455,"I'm a give it back to you","I go to give it back to you","declarative","pro:sub part inf v pro:per adv prep pro:per","Hall","Target_Child",1276
"58",537401,2291,57.0011704552455,"they give you eilee","they give you","trail off","pro:sub v pro:per","Hall","Target_Child",335
"59",538836,2007,57.0011704552455,"look at my friend he gave me this thing","look at my friend he give me this thing","declarative","v prep det:poss n pro:sub v pro:obj det:dem n","Hall","Target_Child",2225
"60",539475,2127,57.0011704552455,"hi hi man let me give you a kiss","hi hi man let me give you a kiss","question","co co n v pro:obj v pro:per det:art n","Hall","Target_Child",1451
"61",539630,2127,57.0011704552455,"want me give you some","want me give you some","question","v pro:obj v pro:per qn","Hall","Target_Child",1458
"62",540325,2141,57.0011704552455,"I'll give you the other thing","I give you the other thing","declarative","pro:sub v pro:per det:art qn n","Hall","Target_Child",1281
"63",540825,2302,57.0011704552455,"from some one in school gave it to me","some one in school give it to me","declarative","qn pro:indef prep n v pro:per prep pro:obj","Hall","Target_Child",390
"64",541529,2249,57.0011704552455,"ahmah give it back","I go to give it back","declarative","pro:sub part inf v pro:per adv","Hall","Target_Child",1217
"65",542464,2234,57.0011704552455,"now it's Tisha because Torrence gave it to her","now it Tisha because Torrence give it to her","declarative","adv pro:per n:prop conj n:prop v pro:per prep pro:obj","Hall","Target_Child",1468
"66",543191,2234,57.0011704552455,"see you didn't you didn't get I said I let you go because you gave it to me","see you do you do I say I let you go because you give it to me","declarative","v pro:per mod pro:per mod pro:sub v pro:sub v pro:per v conj pro:per v pro:per prep pro:obj","Hall","Target_Child",1499
"67",547852,2020,57.0011704552455,"xxx Eddie gave it to me","Eddie give it to me","declarative","n:prop v pro:per prep pro:obj","Hall","Target_Child",2478
"68",548442,2220,57.0011704552455,"let lemme give you five","let let give you five","declarative","v v v pro:per det:num","Hall","Target_Child",1649
"69",548501,2220,57.0011704552455,"lemme give you five","let give you five","declarative","v v pro:per det:num","Hall","Target_Child",1651
"70",548947,2234,57.0011704552455,"uhuh he might give to another child like you","uhuh he might give to another child like you","declarative","co pro:sub mod v prep qn n v pro:per","Hall","Target_Child",1741
"71",549020,2234,57.0011704552455,"he might give it to another chael when I grow up you know what I'm a be","he might give it to another child when I grow up you know what I go to be","question","pro:sub mod v pro:per prep qn n conj pro:sub v adv pro:per v pro:int pro:sub part inf cop","Hall","Target_Child",1744
"72",555290,2172,57.0011704552455,"Miss broman you only gave me a liddle bit juice","Miss Boman you only give me a little bit juice","declarative","n:prop n:prop pro:per adv v pro:obj det:art adj n n","Hall","Target_Child",2066
"73",558315,2020,57.0011704552455,"okay I'll give you a signal","okay I give you a signal","declarative","co pro:sub v pro:per det:art n","Hall","Target_Child",2900
"74",558345,2020,57.0011704552455,"I'm gonna give David a signal","I go give David a signal","declarative","pro:sub part v n:prop det:art n","Hall","Target_Child",2901
"75",558461,2020,57.0011704552455,"I'm gonna give David a warning","I go give David a warn","declarative","pro:sub part v n:prop det:art n:gerund","Hall","Target_Child",2905
"76",558467,2302,57.0011704552455,"oh a little canary bird he gives a miracle","oh a little canary bird he give a miracle","declarative","co det:art adj n n pro:sub v det:art n","Hall","Target_Child",1103
"77",558795,2108,57.0011704552455,"give me the xxx","give me the","declarative","v pro:obj det:art","Hall","Target_Child",2662
"78",560945,2108,57.0011704552455,"give it to me","give it to me","declarative","v pro:per prep pro:obj","Hall","Target_Child",2752
"79",561080,2291,57.0011704552455,"I ate breakfast and he gave me this","I eat breakfast and he give me this","declarative","pro:sub v v coord pro:sub v pro:obj pro:dem","Hall","Target_Child",1333
"80",561216,2141,57.0011704552455,"I'll give you a hundred dollars tomorrow if you let me","I give you a hundred dollar tomorrow if you let me","trail off","pro:sub v pro:per det:art det:num n adv:tem conj pro:per v pro:obj","Hall","Target_Child",2162
"81",561371,2141,57.0011704552455,"Melissa if you let me wear my headband I'll give you a hundred dollars","Melissa if you let me wear my I give you a hundred dollar","declarative","n:prop conj pro:per v pro:obj v det:poss pro:sub v pro:per det:art det:num n","Hall","Target_Child",2168
"82",562165,2108,57.0011704552455,"give it to me xxx","give it to me","declarative","v pro:per prep pro:obj","Hall","Target_Child",2800
"83",562372,2108,57.0011704552455,"give it to me","give it to me","declarative","v pro:per prep pro:obj","Hall","Target_Child",2809
"84",564456,2108,57.0011704552455,"hurry up and give it to him Desie","hurry up and give it to him Desie","declarative","v adv coord v pro:per prep pro:obj n:prop","Hall","Target_Child",2901
"85",565723,2108,57.0011704552455,"by his hand with must be fed give us lord our daily bread","by his hand with must be feed give us lord our daily bread","declarative","prep det:poss n prep mod aux part v pro:obj n det:poss adj n","Hall","Target_Child",2956
"86",567807,2007,57.0011704552455,"don't give me that","do give me that","declarative","mod v pro:obj pro:dem","Hall","Target_Child",3425
"87",567926,2108,57.0011704552455,"I'm xxx when when I go to sleep I'm gonna give my mother a kiss good_night and I'm a shake your hand","I when when I go to sleep I go give my mother a kiss good_night and I a shake your hand","declarative","pro:sub conj conj pro:sub v prep n pro:sub part v det:poss n det:art n co coord pro:sub det:art n det:poss n","Hall","Target_Child",3047
"88",568408,2234,57.0011704552455,"who gave you that tack","who give you that tack","question","pro:int v pro:per det:dem n","Hall","Target_Child",2546
"89",568434,2234,57.0011704552455,"see Tisha you don't never give me xxx tack","see Tisha you do never give me tack","declarative","v n:prop pro:per mod adv v pro:obj n","Hall","Target_Child",2547
"90",568900,2007,57.0011704552455,"you gonna give it to me","you go give it to me","question","pro:per part v pro:per prep pro:obj","Hall","Target_Child",3469
"91",568948,2007,57.0011704552455,"one I'm gonna give it to one that the christmas card from Miss Meyers","I go give it to one that the christmas card from Miss Meyers","declarative","pro:sub part v pro:per prep pro:indef pro:rel det:art n n prep n:prop n:prop","Hall","Target_Child",3471
"92",570042,2279,57.0011704552455,"could you could you give me some play+dough","could you could you give me some","question","mod pro:per mod pro:per v pro:obj qn","Hall","Target_Child",1612
"93",570105,2279,57.0011704552455,"could you give me some play+dough","could you give me some","question","mod pro:per v pro:obj qn","Hall","Target_Child",1615
"94",571707,2141,57.0011704552455,"wanna give them to Melissa","want give them to Melissa","question","v v pro:obj prep n:prop","Hall","Target_Child",2598
"95",573429,2065,57.0011704552455,"my grandma gave it to me","my ma give it to me","declarative","det:poss n v pro:per prep pro:obj","Hall","Target_Child",2823
"96",573759,2065,57.0011704552455,"my I have a book that Tony give to me and Tony's momma give to me and he and I and an he an then and then I and there's a record that tells time and a rabbit","I have a book that Tony give to me Tony momma give to me and he and I and a he a then and then I and there a record that tell time and a rabbit","trail off","pro:sub v det:art n pro:rel n:prop v prep pro:obj adj n v prep pro:obj coord pro:sub coord pro:sub coord det:art pro:sub det:art adv:tem coord adv:tem pro:sub coord pro:exist det:art n pro:rel v n coord det:art n","Hall","Target_Child",2838
"97",574438,2108,57.0011704552455,"when I taste it before because Cindy gave it to me","when I taste it before because Cindy give it to me","declarative","conj pro:sub v pro:per adv conj n:prop v pro:per prep pro:obj","Hall","Target_Child",3317
"98",574494,2108,57.0011704552455,"you gave me the whole thing","you give me the whole thing","question","pro:per v pro:obj det:art adj n","Hall","Target_Child",3319
"99",575161,2007,57.0011704552455,"lemme see I wanna hear it when the news comes on and I give it back","let me I want hear it when the news come on and I give it back","declarative","v pro:obj pro:sub v v pro:per conj det:art n v adv coord pro:sub v pro:per adv","Hall","Target_Child",3734
"100",575305,2065,57.0011704552455,"give it too me when I'm","give it too me when I","trail off","v pro:per adv pro:obj pro:int pro:sub","Hall","Target_Child",2902
"101",577185,2127,57.0011704552455,"she gave me one","she give me one","declarative","pro:sub v pro:obj pro:indef","Hall","Target_Child",2988
"102",577283,2006,57.0011704552455,"mean you gonna give me that one","mean you go give me that one","question","v pro:per part v pro:obj det:dem pro:indef","Hall","Target_Child",3912
"103",577325,2127,57.0011704552455,"give mommy the pretzels","give mommy the pretzel","declarative","v n det:art n","Hall","Target_Child",2995
"104",577562,2172,57.0011704552455,"I'll give it to you","I give it to you","declarative","pro:sub v pro:per prep pro:per","Hall","Target_Child",3013
"105",577709,2187,57.0011704552455,"give Barry the dime","give Barry the dime","declarative","v n:prop det:art n","Hall","Target_Child",3287
"106",577771,2108,57.0011704552455,"I'll give you this","I give you this","declarative","pro:sub v pro:per pro:dem","Hall","Target_Child",3463
"107",579734,2141,57.0011704552455,"give you you can give me some air boy you better not because that'll make you tired","give you can give me some air boy you good not because that will make you tire","declarative","v pro:per mod v pro:obj qn n n pro:per adj neg conj pro:dem mod v pro:per v","Hall","Target_Child",2942
"108",581083,2007,57.0011704552455,"somebody gives me some candy","somebody give me some candy","declarative","pro:indef v pro:obj qn n","Hall","Target_Child",3994
"109",581182,2007,57.0011704552455,"Jack gave me some candy","Jack give me some candy","declarative","n:prop v pro:obj qn n","Hall","Target_Child",3999
"110",582563,2108,57.0011704552455,"what she what she gave you","what she what she give you","question","pro:int pro:sub pro:int pro:sub v pro:per","Hall","Target_Child",3673
"111",582983,2172,57.0011704552455,"I'll give people needoos give them a tempachuh","I give person needle give them a temperature","declarative","pro:sub v n n v pro:obj det:art n","Hall","Target_Child",3254
"112",583025,2172,57.0011704552455,"take dey tempachuh and I'd give them a thing when they tow up den","take they temperature and I give them a thing when they throw up then","trail off","v pro:sub n coord pro:sub v pro:obj det:art n conj pro:sub v adv adv:tem","Hall","Target_Child",3256
"113",583143,2172,57.0011704552455,"den duh doctor den duh doctor give you some medicine","then the doctor give you some medicine","declarative","adv:tem det:art n v pro:per qn n","Hall","Target_Child",3261
"114",583197,2172,57.0011704552455,"and den and den I be a and den when I be a nurse I give people needoos","and then when I be a nurse I give person needle","declarative","coord adv:tem conj pro:sub cop det:art n pro:sub v n n","Hall","Target_Child",3263
"115",583902,2264,57.0011704552455,"that's a block that i gave you and I'm not giving it back","that a block that i give you and I not give it back","declarative","pro:dem det:art n pro:rel n:let v pro:per coord pro:sub neg part pro:per adv","Hall","Target_Child",2295
"116",583983,2065,57.0011704552455,"hey let's give them a telephone","hey let give them a telephone","declarative","co v v pro:obj det:art n","Hall","Target_Child",3293
"117",585508,2264,57.0011704552455,"first give ef and then you give her one of the blacks and","first give and then you give her one of the block and","trail off","adv v coord adv:tem pro:per v det:poss det:num prep det:art n coord","Hall","Target_Child",2363
"118",585553,2264,57.0011704552455,"give her a block","give her a block","declarative","v pro:obj det:art n","Hall","Target_Child",2365
"119",585694,2264,57.0011704552455,"you hafta give them one pair","you have give them one pair","declarative","pro:per mod v pro:obj pro:indef n","Hall","Target_Child",2372
"120",585899,2141,57.0011704552455,"that'll give you some more air","that give you some more air","declarative","pro:rel v pro:per qn qn n","Hall","Target_Child",3205
"121",586039,2065,57.0011704552455,"but I'll I'll give him some buttons","but I I give him some button","declarative","conj pro:sub pro:sub v pro:obj qn n","Hall","Target_Child",3381
"122",586661,2065,57.0011704552455,"that's Todd I gave to him","that Todd I give to him","declarative","pro:dem n:prop pro:sub v prep pro:obj","Hall","Target_Child",3409
"123",586713,2065,57.0011704552455,"I gave that to Todd","I give that to Todd","declarative","pro:sub v comp prep n:prop","Hall","Target_Child",3411
"124",586728,2077,57.0011704552455,"Tunde give me a tissue","Tunde give me a tissue","declarative","n:prop v pro:obj det:art n","Hall","Target_Child",3735
"125",586863,2065,57.0011704552455,"to you and den I gave it to Todd for him","to you and then I give it to Todd for him","declarative","inf pro:per coord adv:tem pro:sub v pro:per prep n:prop prep pro:obj","Hall","Target_Child",3418
"126",588690,2007,57.0011704552455,"xxx xxx xxx give Simba","give Simba","question","v n:prop","Hall","Target_Child",4330
"127",588786,2007,57.0011704552455,"so give it back","so give it back","declarative","adv v pro:per adv","Hall","Target_Child",4334
"128",588801,2007,57.0011704552455,"give it xxx","give it","declarative","v pro:per","Hall","Target_Child",4335
"129",589537,2302,57.0011704552455,"he's giving out his lunch","he give out his lunch","declarative","pro:sub part adv det:poss n","Hall","Target_Child",2411
"130",589688,2007,57.0011704552455,"when you gonna give it to him","when you go give it to him","question","conj pro:per part v pro:per prep pro:obj","Hall","Target_Child",4373
"131",592002,2130,57.0011704552455,"now you gonna give it to me","now you go give it to me","question","adv pro:per part v pro:per prep pro:obj","Hall","Target_Child",3630
"132",592944,2007,57.0011704552455,"I I give him the bone","I I give him the bone","declarative","pro:sub pro:sub v pro:obj det:art n","Hall","Target_Child",4527
"133",593191,2007,57.0011704552455,"xxx then you give me xxx xxx xxx","then you give me","declarative","adv:tem pro:per v pro:obj","Hall","Target_Child",4538
"134",595044,2234,57.0011704552455,"by his hand we must be fed give us lord our daily bread","by his hand we must be feed give us lord our daily bread","declarative","prep det:poss n pro:sub mod aux part v pro:obj n det:poss adj n","Hall","Target_Child",3717
"135",595641,2249,57.0011704552455,"I'll give it to Doreen","I give it to Doreen","declarative","pro:sub v pro:per prep n:prop","Hall","Target_Child",3521
"136",595998,2007,57.0011704552455,"oo don't don't don't give Simba no chicken bones","do do do give Simba no chicken bone","declarative","mod mod mod v n:prop qn n n","Hall","Target_Child",4663
"137",596051,2007,57.0011704552455,"but daddy doesn't give em none","but daddy do give him none","declarative","conj n mod v pro:obj pro:indef","Hall","Target_Child",4665
"138",596088,2264,57.0011704552455,"aehuhuh you have ta get up outa your chair and give it to Andrena","you have to get up of your chair and give it to Andrena","declarative","pro:per v inf v adv prep det:poss n coord v pro:per prep n:prop","Hall","Target_Child",2846
"139",596749,2291,57.0011704552455,"give it to me I wanna check it","give it to me I want check it","imperative_emphatic","v pro:per prep pro:obj pro:sub v v pro:per","Hall","Target_Child",2897
"140",596770,2291,57.0011704552455,"give it to me I wanna check it","give it to me I want check it","imperative_emphatic","v pro:per prep pro:obj pro:sub v v pro:per","Hall","Target_Child",2898
"141",598010,2264,57.0011704552455,"then give them to somebody","then give them to somebody","declarative","adv:tem v pro:obj prep pro:indef","Hall","Target_Child",2938
"142",598275,2264,57.0011704552455,"give it to Andrena","give it to Andrena","imperative_emphatic","v pro:per prep n:prop","Hall","Target_Child",2951
"143",599537,2130,57.0011704552455,"Carl gave it to me","Carl give it to me","declarative","n:prop v pro:per prep pro:obj","Hall","Target_Child",3996
"144",602151,2202,57.0011704552455,"mommy I wanta give it to you","mommy I want give it to you","declarative","n pro:sub v v pro:per prep pro:per","Hall","Target_Child",4304
"145",602371,2130,57.0011704552455,"if Arlene is if yall need um Duracell battery I'm give yall some okay","if Arlene be if you need Duracell battery go to give you some okay","question","conj n:prop cop conj pro:per v n:prop n part inf v pro:per qn adj","Hall","Target_Child",4121
"146",602411,2040,57.0011704552455,"what do you wanna give him","what do you want give him","question","pro:int mod pro:per v v pro:obj","Hall","Target_Child",4376
"147",602452,2040,57.0011704552455,"what you wanna give him","what you want give him","question","pro:int pro:per v v pro:obj","Hall","Target_Child",4378
"148",602518,2077,57.0011704552455,"mommy I gave you a napkin","mommy I give you a napkin","declarative","n pro:sub v pro:per det:art n","Hall","Target_Child",4482
"149",603546,2091,57.0011704552455,"well my dad has tennis shoes shoes but he he gave em away","well my dad have shoe but he he give them away","declarative","co det:poss n aux n conj pro:sub pro:sub v pro:obj adv","Hall","Target_Child",4093
"150",604992,2007,57.0011704552455,"this is Carl gave me this and I'm a fly in it right","this Carl give me this and I a fly in it right","question","pro:dem n:prop v pro:obj pro:dem coord pro:sub det:art n prep pro:per co","Hall","Target_Child",5093
"151",605053,2172,57.0011704552455,"hm hm xxx I want give you something","hm hm I want give you something","declarative","co co pro:sub v v pro:per pro:indef","Hall","Target_Child",4265
"152",609127,2264,57.0011704552455,"give me","give me","declarative","v pro:obj","Hall","Target_Child",3494
"153",609394,2220,57.0011704552455,"give us lord our daily bread","give us lord our daily bread","declarative","v pro:obj n det:poss adj n","Hall","Target_Child",4373
"154",609621,2279,57.0011704552455,"you know most xxx give me some juice mom","you know most give me some juice mom","declarative","pro:per v qn v pro:obj qn n n","Hall","Target_Child",3427
"155",609761,2302,57.0011704552455,"I'll give you some Floridas","I give you some Floridas","declarative","pro:sub v pro:per qn n:prop","Hall","Target_Child",3398
"156",610515,2220,57.0011704552455,"mom give me some","mom give me some","declarative","n v pro:obj qn","Hall","Target_Child",4438
"157",610806,2264,57.0011704552455,"yeah oh goody I better give this to the","yeah oh goody I good give this to the","trail off","co co co pro:sub adv v det:dem prep det:art","Hall","Target_Child",3588
"158",612062,2130,57.0011704552455,"xxx give it back","give it back","declarative","v pro:per adv","Hall","Target_Child",4654
"159",612138,2130,57.0011704552455,"I'm a give it back","I go to give it back","declarative","pro:sub part inf v pro:per adv","Hall","Target_Child",4659
"160",612173,2130,57.0011704552455,"I'm a give it back","I go to give it back","declarative","pro:sub part inf v pro:per adv","Hall","Target_Child",4661
"161",612253,2130,57.0011704552455,"I'm a gonna give it back","I a go give it back","declarative","pro:sub det:art n:gerund v pro:per adv","Hall","Target_Child",4666
"162",612520,2172,57.0011704552455,"wah I hafta give you that piece a cake","I have give you that piece of cake","declarative","pro:sub mod v pro:per det:dem n prep n","Hall","Target_Child",4670
"163",613017,2279,57.0011704552455,"this is f this is my this is the thing that miss pierce gave me and I could have it after supper","this be this be my this be the thing that miss pierce give me and I could have it after supper","declarative","pro:dem cop pro:dem cop co pro:dem cop det:art n det:dem n v v pro:obj coord pro:sub mod v pro:per prep n","Hall","Target_Child",3620
"164",613276,2291,57.0011704552455,"give it to me","give it to me","declarative","v pro:per prep pro:obj","Hall","Target_Child",3763
"165",613978,2302,57.0011704552455,"we had we picked out everybody gave a name to give to the dinosaur and they and I said tyrannosaurus","we we pick everybody give a name to give to the dinosaur and and I say tyrannosaurus","declarative","pro:sub pro:sub v pro:indef v det:art n inf v prep det:art n coord coord pro:sub v n","Hall","Target_Child",3636
"166",614538,2302,57.0011704552455,"okay give it to me","okay give it to me","declarative","co v pro:per prep pro:obj","Hall","Target_Child",3672
"167",614553,2302,57.0011704552455,"give it to me give it to me give it to me","give it to me give it to me give it to me","declarative","v pro:per prep pro:obj v pro:per prep pro:obj v pro:per prep pro:obj","Hall","Target_Child",3673
"168",615073,2220,57.0011704552455,"Ma I thought you was gonna give me a lemon","Ma I think you be go give me a lemon","declarative","n:prop pro:sub v pro:per aux part v pro:obj det:art n","Hall","Target_Child",4711
"169",615095,2279,57.0011704552455,"an an an then and then if somebody else takes it they got to give it back to you and you try again","a a a then and then if somebody else take it they get to give it back to you and you try again","declarative","det:art det:art det:art adv:tem coord adv:tem conj pro:indef post v pro:per pro:sub v inf v pro:per adv prep pro:per coord pro:per v adv","Hall","Target_Child",3740
